timestamp,symbol,signal,position_size
2024-06-04 15:00:00+00:00,SOL,HOLD,0.21916353660332724
2024-06-04 16:00:00+00:00,SOL,BUY,0.7278758425432384
2024-06-04 17:00:00+00:00,SOL,BUY,0.8616285005034893
2024-06-04 18:00:00+00:00,SOL,HOLD,0.0005031502541812989
2024-06-04 19:00:00+00:00,SOL,BUY,0.37289359431383623
2024-06-04 20:00:00+00:00,SOL,HOLD,0.09561337753252275
2024-06-04 21:00:00+00:00,SOL,HOLD,0.2069173137907151
2024-06-04 22:00:00+00:00,SOL,HOLD,0.0905585237671598
2024-06-04 23:00:00+00:00,SOL,BUY,0.8585733259846476
2024-06-05 00:00:00+00:00,SOL,BUY,0.6589350737742122
2024-06-05 01:00:00+00:00,SOL,HOLD,0.11934102066508374
2024-06-05 02:00:00+00:00,SOL,BUY,0.6148503857487037
2024-06-05 03:00:00+00:00,SOL,HOLD,0.19120534929102914
2024-06-05 04:00:00+00:00,SOL,SELL,0.5397520688681683
2024-06-05 05:00:00+00:00,SOL,HOLD,0.18270371078678602
2024-06-05 06:00:00+00:00,SOL,BUY,0.27341596878071617
2024-06-05 07:00:00+00:00,SOL,HOLD,0.24998069794624392
2024-06-05 08:00:00+00:00,SOL,SELL,0.5989734905841072
2024-06-05 09:00:00+00:00,SOL,HOLD,0.08420906179593143
2024-06-05 10:00:00+00:00,SOL,BUY,0.27640600156909123
2024-06-05 11:00:00+00:00,SOL,SELL,0.6684066434153182
2024-06-05 12:00:00+00:00,SOL,HOLD,0.02622566819592536
2024-06-05 13:00:00+00:00,SOL,HOLD,0.1250601540271443
2024-06-05 14:00:00+00:00,SOL,SELL,0.25289603988775267
2024-06-05 15:00:00+00:00,SOL,HOLD,0.01839668869565707
2024-06-05 16:00:00+00:00,SOL,BUY,0.7668318102664283
2024-06-05 17:00:00+00:00,SOL,SELL,1.0
2024-06-05 18:00:00+00:00,SOL,HOLD,0.1587362376682878
2024-06-05 19:00:00+00:00,SOL,SELL,0.7390055444417972
2024-06-05 20:00:00+00:00,SOL,SELL,0.37961892663968677
2024-06-05 21:00:00+00:00,SOL,BUY,0.5373767264047623
2024-06-05 22:00:00+00:00,SOL,HOLD,0.1718777757057048
2024-06-05 23:00:00+00:00,SOL,HOLD,0.026153249604598
2024-06-06 00:00:00+00:00,SOL,BUY,0.2643734815910309
2024-06-06 01:00:00+00:00,SOL,HOLD,0.1947651908993912
2024-06-06 02:00:00+00:00,SOL,HOLD,0.22288971443517439
2024-06-06 03:00:00+00:00,SOL,BUY,0.4960642645200099
2024-06-06 04:00:00+00:00,SOL,SELL,0.3187751358843878
2024-06-06 05:00:00+00:00,SOL,HOLD,0.06563016640973016
2024-06-06 06:00:00+00:00,SOL,SELL,0.9057373504393303
2024-06-06 07:00:00+00:00,SOL,SELL,0.39249258271268217
2024-06-06 08:00:00+00:00,SOL,BUY,0.3634408918932927
2024-06-06 09:00:00+00:00,SOL,BUY,0.4244399481708149
2024-06-06 10:00:00+00:00,SOL,SELL,0.2775027535830389
2024-06-06 11:00:00+00:00,SOL,HOLD,0.1318513426476962
2024-06-06 12:00:00+00:00,SOL,HOLD,0.04332815810333055
2024-06-06 13:00:00+00:00,SOL,HOLD,0.11476287652821572
2024-06-06 14:00:00+00:00,SOL,SELL,0.2809627488572656
2024-06-06 15:00:00+00:00,SOL,HOLD,0.12586173799991054
2024-06-06 16:00:00+00:00,SOL,HOLD,0.118629556329599
2024-06-06 17:00:00+00:00,SOL,HOLD,0.17926291423712562
2024-06-06 18:00:00+00:00,SOL,HOLD,0.019303777918145647
2024-06-06 19:00:00+00:00,SOL,SELL,0.6391974807005898
2024-06-06 20:00:00+00:00,SOL,SELL,1.0
2024-06-06 21:00:00+00:00,SOL,BUY,0.4468797761223931
2024-06-06 22:00:00+00:00,SOL,HOLD,0.2197792073704421
2024-06-06 23:00:00+00:00,SOL,HOLD,0.13321579139323336
2024-06-07 00:00:00+00:00,SOL,HOLD,0.2138670218073277
2024-06-07 01:00:00+00:00,SOL,HOLD,0.18670110234894755
2024-06-07 02:00:00+00:00,SOL,HOLD,0.008071890644851271
2024-06-07 03:00:00+00:00,SOL,HOLD,0.16135638813919956
2024-06-07 04:00:00+00:00,SOL,BUY,0.48992989384540614
2024-06-07 05:00:00+00:00,SOL,BUY,0.9113228504970348
2024-06-07 06:00:00+00:00,SOL,HOLD,0.04485411048100784
2024-06-07 07:00:00+00:00,SOL,BUY,0.3013020508851056
2024-06-07 08:00:00+00:00,SOL,HOLD,0.07548452650231788
2024-06-07 09:00:00+00:00,SOL,SELL,0.26071087243794333
2024-06-07 10:00:00+00:00,SOL,SELL,0.5701166401143736
2024-06-07 11:00:00+00:00,SOL,SELL,0.2507425080919813
2024-06-07 12:00:00+00:00,SOL,BUY,0.3970471307134869
2024-06-07 13:00:00+00:00,SOL,BUY,0.30991799954302807
2024-06-07 14:00:00+00:00,SOL,HOLD,0.06966380107224145
2024-06-07 15:00:00+00:00,SOL,HOLD,0.12165812937271055
2024-06-07 16:00:00+00:00,SOL,SELL,0.7373713830984457
2024-06-07 17:00:00+00:00,SOL,BUY,1.0
2024-06-07 18:00:00+00:00,SOL,SELL,1.0
2024-06-07 19:00:00+00:00,SOL,SELL,1.0
2024-06-07 20:00:00+00:00,SOL,BUY,0.6087279732011419
2024-06-07 21:00:00+00:00,SOL,BUY,0.6227410622054093
2024-06-07 22:00:00+00:00,SOL,HOLD,8.696501751459324e-05
2024-06-07 23:00:00+00:00,SOL,HOLD,0.203686238579557
2024-06-08 00:00:00+00:00,SOL,HOLD,0.2176056557045034
2024-06-08 01:00:00+00:00,SOL,SELL,0.3516336828318996
2024-06-08 02:00:00+00:00,SOL,BUY,0.5848962214291294
2024-06-08 03:00:00+00:00,SOL,HOLD,0.1292694827395018
2024-06-08 04:00:00+00:00,SOL,HOLD,0.07645334272557305
2024-06-08 05:00:00+00:00,SOL,SELL,0.5407323143324572
2024-06-08 06:00:00+00:00,SOL,BUY,0.28852486458258236
2024-06-08 07:00:00+00:00,SOL,HOLD,0.19215108449695667
2024-06-08 08:00:00+00:00,SOL,BUY,0.5259687667278597
2024-06-08 09:00:00+00:00,SOL,HOLD,0.11797008546067365
2024-06-08 10:00:00+00:00,SOL,HOLD,0.11843679668034544
2024-06-08 11:00:00+00:00,SOL,HOLD,0.13812981741717073
2024-06-08 12:00:00+00:00,SOL,SELL,0.8334338502009784
2024-06-08 13:00:00+00:00,SOL,SELL,0.3402258103513001
2024-06-08 14:00:00+00:00,SOL,BUY,0.39465402859860826
2024-06-08 15:00:00+00:00,SOL,BUY,0.501644632105764
2024-06-08 16:00:00+00:00,SOL,SELL,0.5274992188074613
2024-06-08 17:00:00+00:00,SOL,HOLD,0.06882948812993833
2024-06-08 18:00:00+00:00,SOL,BUY,0.3924583042266085
2024-06-08 19:00:00+00:00,SOL,HOLD,0.04616806255214951
2024-06-08 20:00:00+00:00,SOL,HOLD,0.07241367413055173
2024-06-08 21:00:00+00:00,SOL,HOLD,0.2289264638569496
2024-06-08 22:00:00+00:00,SOL,HOLD,0.20088565149508633
2024-06-08 23:00:00+00:00,SOL,HOLD,0.07045518757990593
2024-06-09 00:00:00+00:00,SOL,SELL,0.31601442649063727
2024-06-09 01:00:00+00:00,SOL,BUY,0.4418435669121916
2024-06-09 02:00:00+00:00,SOL,BUY,0.3902915257920821
2024-06-09 03:00:00+00:00,SOL,SELL,0.7491940235396599
2024-06-09 04:00:00+00:00,SOL,BUY,0.4225688880496353
2024-06-09 05:00:00+00:00,SOL,HOLD,0.08438171495406233
2024-06-09 06:00:00+00:00,SOL,BUY,0.6466284285950906
2024-06-09 07:00:00+00:00,SOL,BUY,0.265773447168824
2024-06-09 08:00:00+00:00,SOL,HOLD,0.0013022283280119072
2024-06-09 09:00:00+00:00,SOL,BUY,0.26144528690035507
2024-06-09 10:00:00+00:00,SOL,HOLD,0.052477208844494375
2024-06-09 11:00:00+00:00,SOL,HOLD,0.1902610092533519
2024-06-09 12:00:00+00:00,SOL,BUY,0.33833621141488923
2024-06-09 13:00:00+00:00,SOL,BUY,0.8641202231706964
2024-06-09 14:00:00+00:00,SOL,HOLD,0.11086817309733052
2024-06-09 15:00:00+00:00,SOL,BUY,0.5493511729045735
2024-06-09 16:00:00+00:00,SOL,HOLD,0.20220811802090982
2024-06-09 17:00:00+00:00,SOL,SELL,0.44357729126504436
2024-06-09 18:00:00+00:00,SOL,HOLD,0.1658724708447461
2024-06-09 19:00:00+00:00,SOL,BUY,1.0
2024-06-09 20:00:00+00:00,SOL,SELL,0.2644408392606409
